AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
213,-70,-85,-678,-104,-32,-812,-8,-93,-306,-151,-756,-1379,-73
214,-67,-87,-676,-102,-27,-825,-9,-86,-309,-150,-756,-1380,-70
212,-59,-91,-679,-101,-21,-830,-14,-75,-308,-143,-756,-1380,-66
208,-63,-90,-680,-103,-27,-828,-16,-75,-309,-134,-756,-1379,-71
208,-65,-88,-677,-103,-28,-828,-13,-73,-311,-130,-756,-1379,-72
212,-48,-89,-676,-91,-11,-827,-7,-61,-307,-127,-756,-1379,-67
212,-35,-88,-677,-78,-4,-829,-6,-54,-306,-125,-755,-1380,-66
205,-43,-88,-677,-80,-21,-829,-19,-60,-312,-130,-754,-1379,-71
200,-47,-91,-676,-83,-23,-827,-32,-64,-313,-132,-758,-1379,-69
200,-39,-91,-676,-78,-4,-829,-21,-59,-308,-128,-756,-1380,-64
203,-38,-88,-677,-76,2,-828,-7,-60,-307,-133,-752,-1381,-63
205,-49,-87,-676,-79,-13,-816,-12,-64,-311,-136,-766,-1382,-62
206,-77,-103,-664,-83,-79,-813,-20,-79,-305,-150,-756,-1383,-73
208,-88,-87,-664,-88,-80,-810,-22,-85,-307,-150,-756,-1383,-84
207,-86,-90,-664,-83,-79,-807,-14,-81,-309,-147,-756,-1383,-87
203,-80,-88,-664,-79,-83,-810,-5,-88,-306,-147,-756,-1383,-83
203,-78,-80,-664,-78,-74,-814,-4,-90,-310,-142,-755,-1383,-81
200,-72,-86,-664,-76,-61,-813,-7,-73,-311,-132,-754,-1383,-75
197,-66,-93,-664,-72,-60,-811,-11,-57,-306,-127,-756,-1383,-66
205,-66,-87,-664,-70,-54,-809,-13,-47,-304,-115,-755,-1383,-61
214,-68,-83,-664,-73,-44,-808,-7,-46,-304,-111,-754,-1383,-62
210,-69,-88,-664,-75,-50,-809,-5,-58,-305,-128,-763,-1383,-69
209,-66,-90,-664,-72,-57,-811,-14,-58,-306,-133,-774,-1383,-71
215,-63,-87,-664,-76,-56,-811,-17,-54,-307,-121,-773,-1383,-67
214,-73,-88,-664,-81,-68,-811,-11,-66,-306,-125,-770,-1383,-68
202,-78,-92,-664,-79,-79,-811,-9,-74,-307,-138,-773,-1383,-72
205,-72,-93,-664,-90,-68,-809,-8,-74,-307,-144,-773,-1383,-72
213,-75,-92,-664,-103,-60,-807,-6,-83,-306,-148,-772,-1383,-70
205,-92,-90,-665,-102,-74,-807,-22,-86,-306,-150,-773,-1383,-70
198,-103,-91,-664,-104,-93,-809,-36,-94,-310,-160,-774,-1383,-82
201,-98,-93,-664,-108,-94,-811,-30,-108,-309,-168,-773,-1383,-89
202,-95,-92,-665,-103,-86,-811,-25,-101,-303,-158,-772,-1382,-84
211,-77,-90,-661,-108,-71,-799,-28,-120,-308,-179,-757,-1384,-109
204,-78,-93,-661,-127,-71,-799,-27,-118,-310,-184,-757,-1389,-107
197,-84,-105,-661,-120,-57,-799,-30,-108,-310,-186,-757,-1387,-108
197,-92,-119,-661,-102,-62,-799,-35,-109,-305,-185,-757,-1386,-104
197,-106,-115,-661,-105,-83,-799,-34,-122,-303,-188,-757,-1385,-101
198,-98,-110,-661,-112,-78,-799,-32,-127,-305,-195,-757,-1383,-109
203,-75,-114,-661,-107,-57,-799,-32,-121,-305,-201,-756,-1387,-120
209,-82,-114,-661,-102,-55,-799,-34,-115,-306,-194,-755,-1384,-110
209,-101,-113,-661,-102,-74,-799,-35,-118,-306,-181,-755,-1382,-101
208,-105,-119,-661,-106,-87,-799,-35,-125,-308,-188,-756,-1398,-111
210,-97,-121,-661,-108,-74,-797,-34,-124,-310,-201,-755,-1409,-113
204,-88,-117,-661,-104,-62,-796,-34,-113,-307,-187,-755,-1398,-105
198,-82,-117,-661,-105,-72,-797,-34,-107,-307,-178,-755,-1389,-107
202,-89,-119,-661,-110,-78,-797,-34,-110,-311,-189,-756,-1397,-113
200,-105,-123,-661,-113,-76,-798,-34,-114,-306,-195,-755,-1396,-106
196,-91,-120,-662,-111,-75,-799,-34,-115,-302,-184,-755,-1386,-99
207,-71,-102,-662,-106,-67,-799,-34,-113,-311,-177,-759,-1384,-99
213,-76,-87,-659,-102,-60,-799,-34,-111,-314,-177,-762,-1382,-95
189,-71,-85,-638,-75,-53,-799,-15,-61,-305,-149,-756,-1394,-90
187,-69,-84,-636,-72,-40,-799,-5,-62,-306,-140,-756,-1391,-89
184,-66,-86,-646,-69,-32,-799,-3,-58,-306,-131,-756,-1394,-84
184,-71,-85,-650,-74,-37,-799,-21,-52,-305,-138,-756,-1391,-88
185,-75,-85,-639,-78,-50,-799,-32,-57,-305,-151,-756,-1385,-94
192,-75,-86,-635,-72,-49,-799,-29,-59,-307,-150,-756,-1385,-92
196,-71,-88,-644,-70,-35,-799,-21,-50,-307,-135,-756,-1386,-89
191,-74,-89,-651,-73,-29,-799,-9,-47,-306,-128,-756,-1386,-89
186,-86,-91,-650,-72,-44,-799,-7,-59,-306,-143,-756,-1387,-92
190,-89,-93,-645,-75,-58,-799,-19,-64,-306,-148,-756,-1387,-89
194,-90,-92,-645,-70,-50,-799,-26,-56,-307,-131,-756,-1386,-78
193,-91,-91,-649,-57,-44,-799,-21,-57,-307,-127,-756,-1386,-77
190,-80,-94,-648,-62,-49,-799,-9,-66,-307,-143,-756,-1388,-90
197,-71,-95,-646,-76,-42,-799,-6,-67,-306,-145,-756,-1387,-93
203,-75,-92,-648,-71,-36,-799,-22,-62,-307,-139,-756,-1386,-74
164,-45,-62,-640,-31,0,-796,-8,-59,-305,-99,-759,-1404,-22
157,-50,-71,-638,-39,-2,-795,-13,-60,-308,-97,-758,-1409,-32
170,-48,-64,-635,-45,-6,-795,-11,-64,-309,-103,-756,-1405,-34
186,-43,-54,-635,-47,-4,-796,-7,-61,-309,-100,-758,-1386,-32
182,-41,-59,-636,-50,-3,-795,-6,-55,-309,-98,-757,-1380,-32
178,-50,-59,-635,-42,-13,-794,-3,-55,-310,-101,-753,-1386,-29
187,-63,-59,-636,-45,-28,-795,-3,-63,-308,-112,-754,-1387,-32
178,-71,-80,-639,-69,-34,-796,-5,-67,-305,-130,-756,-1390,-41
164,-70,-85,-637,-73,-31,-794,-3,-63,-307,-132,-756,-1397,-39
168,-58,-64,-633,-47,-15,-794,0,-57,-309,-118,-755,-1392,-31
172,-40,-65,-633,-42,0,-796,-1,-55,-307,-113,-752,-1383,-30
164,-39,-83,-636,-57,-1,-795,-1,-57,-306,-119,-748,-1385,-35
165,-46,-82,-635,-54,-6,-795,-1,-58,-309,-116,-747,-1388,-34
182,-37,-75,-635,-42,5,-796,-3,-52,-312,-105,-754,-1386,-31
193,-42,-82,-636,-44,6,-795,-4,-53,-310,-105,-760,-1388,-32
187,-70,-87,-637,-47,-19,-796,-3,-68,-311,-119,-759,-1393,-34
179,-41,-84,-632,-19,32,-796,-2,-29,-307,-87,-759,-1403,-33
182,-40,-86,-632,-17,44,-795,-3,-26,-311,-83,-759,-1392,-32
186,-40,-87,-632,-13,45,-795,-3,-26,-312,-85,-759,-1389,-29
181,-42,-87,-632,-29,30,-795,-1,-30,-308,-89,-759,-1400,-28
177,-41,-86,-632,-44,37,-795,0,-25,-309,-93,-759,-1406,-31
178,-44,-83,-632,-41,45,-796,0,-24,-315,-100,-759,-1398,-38
179,-64,-85,-632,-38,29,-795,-2,-46,-312,-112,-759,-1392,-41
179,-75,-86,-632,-47,20,-796,-4,-60,-304,-115,-758,-1404,-38
182,-67,-80,-632,-37,29,-795,-3,-47,-305,-102,-753,-1409,-33
186,-67,-78,-632,-25,29,-795,-1,-42,-306,-98,-748,-1387,-31
186,-66,-81,-632,-32,29,-795,-2,-45,-303,-101,-750,-1379,-32
183,-45,-82,-632,-27,38,-795,-3,-30,-308,-91,-755,-1387,-32
182,-40,-81,-632,-15,40,-795,-3,-24,-313,-85,-756,-1388,-30
182,-62,-84,-632,-26,30,-795,-5,-46,-309,-102,-755,-1386,-34
181,-77,-88,-632,-49,16,-795,-7,-61,-310,-119,-756,-1384,-39
181,-75,-88,-632,-52,5,-795,-4,-60,-312,-120,-755,-1386,-41
175,-75,-87,-632,-45,-1,-795,-5,-64,-309,-117,-753,-1395,-39
169,-62,-70,-631,-69,24,-797,-4,-64,-309,-124,-759,-1384,-31
165,-65,-78,-631,-77,17,-795,-3,-61,-308,-116,-757,-1389,-28
170,-58,-84,-631,-57,16,-795,-2,-60,-306,-118,-754,-1386,-28
170,-45,-77,-631,-46,25,-797,-4,-57,-304,-117,-757,-1385,-31
170,-43,-74,-631,-61,33,-791,-1,-56,-305,-114,-759,-1400,-32
169,-49,-80,-631,-74,31,-779,2,-61,-310,-119,-758,-1406,-33
167,-48,-79,-631,-67,32,-782,1,-55,-311,-120,-755,-1395,-35
169,-43,-77,-631,-56,35,-798,-2,-38,-308,-118,-756,-1390,-37
175,-39,-83,-631,-47,35,-794,2,-29,-310,-118,-756,-1397,-37
173,-37,-75,-631,-44,37,-779,4,-33,-314,-114,-751,-1395,-35
171,-40,-60,-631,-49,36,-782,1,-44,-313,-119,-745,-1387,-37
173,-45,-70,-631,-48,28,-785,-3,-55,-310,-132,-748,-1398,-42
172,-48,-85,-631,-44,20,-780,-6,-63,-308,-135,-758,-1407,-44
172,-46,-81,-631,-47,23,-781,-5,-60,-311,-124,-755,-1398,-41
173,-40,-78,-631,-40,31,-783,1,-43,-311,-115,-748,-1398,-37
169,-65,-73,-631,-77,25,-780,-3,-87,-314,-165,-754,-1406,-70
172,-63,-60,-634,-78,31,-780,0,-81,-313,-162,-752,-1404,-71
169,-63,-58,-621,-77,29,-780,0,-77,-310,-150,-754,-1408,-61
178,-66,-77,-616,-70,24,-780,-2,-74,-309,-143,-758,-1408,-59
185,-58,-87,-629,-79,29,-781,-4,-61,-310,-142,-755,-1403,-64
176,-45,-84,-633,-95,33,-784,-2,-56,-309,-150,-752,-1405,-68
168,-41,-82,-628,-85,32,-786,1,-60,-309,-152,-757,-1407,-65
172,-37,-81,-629,-67,41,-784,0,-54,-312,-136,-754,-1406,-52
173,-35,-79,-630,-68,43,-783,-3,-51,-311,-126,-748,-1405,-48
175,-52,-82,-629,-76,27,-783,-6,-55,-308,-140,-754,-1405,-61
180,-69,-87,-631,-78,10,-785,-6,-62,-308,-151,-759,-1405,-66
178,-65,-87,-629,-75,9,-782,-2,-61,-310,-146,-757,-1404,-59
178,-61,-85,-628,-82,8,-777,1,-60,-311,-144,-755,-1405,-62
180,-69,-85,-629,-92,-2,-782,0,-68,-310,-147,-755,-1405,-67
178,-71,-85,-629,-87,-4,-789,-1,-74,-312,-146,-753,-1405,-61
185,-64,-78,-614,-36,31,-776,-3,-34,-312,-115,-756,-1405,-58
188,-64,-83,-615,-40,28,-775,-1,-35,-311,-110,-756,-1404,-59
184,-64,-83,-614,-46,23,-776,-2,-35,-313,-107,-756,-1406,-62
183,-61,-84,-614,-42,28,-777,-6,-29,-312,-99,-756,-1409,-53
185,-63,-80,-615,-36,33,-778,-7,-26,-306,-92,-755,-1410,-50
175,-71,-77,-615,-41,24,-779,-6,-39,-305,-101,-756,-1408,-65
167,-72,-77,-614,-48,14,-778,-7,-52,-311,-116,-755,-1408,-72
167,-64,-79,-615,-43,20,-779,-7,-45,-312,-111,-747,-1409,-66
166,-64,-85,-616,-40,31,-781,-4,-34,-308,-103,-747,-1409,-65
174,-62,-88,-611,-43,30,-781,-3,-34,-309,-114,-755,-1408,-67
185,-43,-83,-607,-43,27,-779,-9,-34,-313,-120,-760,-1409,-64
185,-41,-83,-607,-40,33,-778,-9,-32,-312,-116,-756,-1409,-62
184,-64,-88,-606,-40,36,-781,-3,-38,-313,-119,-751,-1407,-60
190,-72,-87,-605,-43,31,-782,-2,-39,-313,-122,-750,-1407,-64
187,-63,-83,-607,-42,28,-778,-5,-31,-310,-118,-753,-1407,-68
180,-66,-83,-610,-40,32,-779,-7,-39,-311,-118,-754,-1405,-64
183,-74,-83,-611,-41,22,-780,-8,-58,-311,-119,-750,-1404,-61
181,-73,-78,-607,-96,-6,-781,-3,-79,-312,-143,-751,-1392,-64
174,-72,-81,-606,-96,-4,-780,-5,-77,-312,-138,-753,-1391,-64
176,-80,-85,-606,-107,-22,-780,-6,-89,-310,-147,-759,-1400,-70
178,-77,-82,-605,-100,-12,-780,-4,-77,-306,-146,-757,-1408,-68
177,-86,-78,-606,-95,-4,-780,-5,-69,-306,-142,-749,-1408,-63
179,-103,-80,-607,-100,-24,-780,-9,-85,-308,-147,-746,-1405,-62
183,-101,-82,-606,-101,-35,-779,-8,-94,-310,-150,-746,-1405,-60
184,-86,-81,-605,-97,-25,-782,-7,-84,-311,-144,-746,-1406,-61
181,-71,-82,-605,-101,-23,-784,-8,-86,-312,-145,-747,-1404,-66
176,-74,-82,-605,-109,-30,-782,-8,-92,-310,-152,-748,-1404,-70
173,-95,-79,-605,-105,-30,-779,-6,-89,-310,-151,-750,-1407,-69
172,-101,-78,-606,-99,-28,-777,-6,-92,-310,-156,-748,-1407,-65
177,-96,-82,-607,-104,-31,-788,-7,-95,-310,-160,-748,-1405,-64
184,-98,-84,-607,-98,-31,-798,-5,-94,-311,-151,-753,-1405,-65
174,-65,-64,-601,-15,26,-781,-7,-23,-311,-83,-758,-1407,-34
182,-58,-61,-601,-12,27,-779,-7,-19,-311,-81,-757,-1407,-33
172,-61,-58,-601,-17,34,-778,-8,-25,-311,-81,-757,-1407,-35
174,-61,-58,-601,-17,32,-780,-9,-28,-312,-84,-758,-1407,-36
187,-43,-55,-601,-15,28,-779,-7,-24,-307,-85,-754,-1407,-33
183,-38,-54,-601,-11,31,-776,-8,-26,-307,-86,-748,-1407,-32
181,-56,-58,-601,-17,26,-777,-6,-29,-315,-92,-745,-1407,-36
185,-71,-58,-601,-36,8,-778,-5,-35,-312,-94,-751,-1407,-45
