AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
12,20,-4,-24,77,108,-246,49,22,-433,-13,-92,-677,24
9,24,3,-24,74,105,-254,45,34,-430,-2,-96,-675,22
10,9,-8,-24,63,104,-259,34,28,-433,-9,-95,-675,22
13,-13,-24,-27,51,55,-248,31,26,-432,39,-98,-690,25
13,-14,-22,-27,52,59,-250,32,33,-433,94,-98,-690,26
16,-14,-23,-25,56,56,-247,27,34,-433,100,-98,-688,28
13,-9,-16,-23,71,61,-248,31,34,-431,59,-96,-686,33
9,-3,3,-25,84,82,-247,48,41,-430,43,-97,-687,47
12,5,7,-26,78,97,-241,57,48,-430,55,-98,-687,54
13,5,-7,-24,68,92,-244,57,47,-434,37,-98,-687,50
17,-2,-1,-24,69,88,-246,58,52,-437,16,-94,-687,51
21,-4,4,-25,67,92,-245,42,55,-434,15,-93,-687,53
14,-4,-19,-24,52,84,-250,26,47,-432,6,-97,-687,44
11,-10,-22,-25,25,66,-245,62,36,-434,-46,-96,-678,34
12,-29,-25,-25,15,43,-244,57,16,-435,-68,-96,-678,30
13,-45,-23,-23,20,30,-248,39,16,-433,-91,-96,-678,30
14,-34,-13,-26,19,50,-249,30,29,-436,-95,-96,-678,33
12,-12,-1,-32,15,66,-247,33,37,-439,-85,-96,-678,39
11,-6,1,-31,17,60,-249,33,44,-434,-69,-96,-678,38
15,-7,-1,-23,17,65,-250,29,48,-432,-64,-96,-678,29
16,-5,0,-21,16,77,-243,28,49,-439,-71,-96,-678,27
10,-5,2,-22,17,69,-243,32,52,-437,-65,-96,-678,28
10,-10,-15,-22,-12,63,-244,33,-26,-436,-90,-96,-684,17
10,-9,-20,-21,6,55,-248,28,-35,-436,-92,-96,-684,17
13,-9,-22,-31,16,59,-247,28,-28,-436,-84,-96,-684,21
14,-4,-22,-35,13,72,-243,29,-7,-437,-83,-96,-684,25
13,0,-23,-24,18,85,-245,28,4,-434,-83,-96,-684,26
13,-3,-26,-21,23,89,-246,27,8,-434,-64,-96,-684,29
13,-4,-27,-29,20,89,-245,28,9,-439,-43,-96,-684,32
15,5,-24,-29,23,92,-245,27,13,-440,-39,-96,-684,30
19,7,-20,-24,26,93,-245,32,16,-434,-39,-96,-684,29
18,-2,-17,-22,24,89,-244,35,11,-431,-43,-96,-684,32
17,-9,7,-24,43,90,-247,30,35,-435,-88,-96,-678,20
13,-11,-2,-24,31,87,-251,31,30,-435,-90,-96,-678,6
11,-10,2,-24,22,90,-246,45,30,-435,-87,-96,-679,-1
12,-10,3,-24,22,86,-243,51,28,-436,-93,-96,-678,10
11,-11,-19,-24,28,81,-244,33,29,-437,-94,-96,-676,20
13,-7,-30,-24,38,84,-241,23,33,-434,-80,-96,-676,19
14,-6,-22,-24,39,86,-239,31,33,-428,-69,-96,-678,17
11,-6,-24,-24,27,84,-242,31,38,-430,-67,-96,-677,12
10,-3,-30,-24,19,85,-237,26,45,-433,-61,-96,-676,1
12,0,-25,-24,20,89,-236,33,41,-436,-55,-96,-677,3
16,16,-17,-24,43,116,-247,31,62,-433,54,-96,-666,21
16,16,-17,-24,44,117,-246,32,59,-433,64,-96,-663,20
16,17,-3,-24,42,110,-246,30,59,-431,101,-96,-662,21
15,15,-14,-24,31,96,-246,30,57,-432,120,-96,-662,23
17,16,-24,-24,22,95,-246,32,54,-434,117,-96,-663,24
19,16,-19,-24,24,100,-246,29,53,-433,124,-96,-659,24
18,15,-20,-24,33,100,-246,27,57,-431,142,-96,-660,24
17,18,-16,-24,47,100,-246,33,62,-432,159,-96,-671,24
14,10,-9,-24,48,95,-246,36,55,-433,151,-96,-679,24
9,-9,-10,-24,51,34,-246,34,-82,-432,29,-96,-679,12
10,-32,-13,-24,44,32,-245,31,-90,-438,34,-96,-677,8
17,-40,-20,-24,41,32,-244,32,-85,-435,22,-96,-680,3
18,-25,-21,-24,44,30,-246,30,-82,-429,24,-96,-680,4
12,-14,-12,-24,49,31,-246,21,-78,-429,35,-96,-668,5
11,-17,-2,-24,45,36,-244,22,-67,-432,49,-96,-657,2
13,-14,4,-24,46,37,-244,31,-60,-431,51,-96,-659,11
14,-9,4,-24,54,34,-247,32,-59,-431,43,-96,-661,22
15,-25,-8,-24,37,29,-239,26,-62,-432,39,-96,-659,9
14,0,-32,-23,41,75,-244,2,27,-433,-4,-96,-663,25
10,-3,-33,-21,41,61,-247,17,24,-432,-6,-96,-665,25
8,-3,-32,-22,44,63,-246,21,19,-431,-9,-96,-662,24
11,-4,-28,-25,40,68,-246,13,16,-433,-12,-96,-658,20
14,0,-25,-24,42,68,-242,19,15,-433,2,-96,-660,21
12,4,-21,-24,44,68,-231,26,21,-433,22,-96,-661,24
9,-2,-19,-24,32,65,-229,24,21,-437,16,-96,-661,22
9,-9,-21,-25,20,57,-230,19,12,-436,-8,-96,-659,14
14,-5,3,-23,-16,75,-231,53,26,-432,-88,-93,-646,-6
