AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
14,26,-13,27,19,42,-94,48,-8,-371,4,-55,-245,29
17,22,-12,30,40,57,-94,59,8,-371,20,-55,-245,39
14,23,-11,40,35,60,-94,53,4,-371,15,-56,-243,34
10,18,-4,39,20,57,-94,53,-19,-371,32,-56,-241,27
11,17,4,28,18,59,-94,55,-28,-371,46,-54,-241,28
14,16,5,25,17,52,-94,53,-30,-371,20,-54,-241,27
12,-2,1,27,15,38,-94,53,-44,-371,-5,-57,-241,20
11,-8,2,25,21,33,-94,54,-51,-371,5,-57,-242,21
14,-6,5,25,25,30,-94,53,-46,-371,21,-55,-241,28
12,-4,4,24,29,36,-94,55,-44,-371,20,-54,-242,28
10,12,3,25,41,56,-94,60,-37,-371,9,-54,-242,29
12,25,5,34,47,63,-94,61,-26,-371,-3,-54,-239,31
14,17,1,40,47,58,-94,56,-27,-371,-6,-54,-240,27
13,17,2,33,45,64,-94,58,-28,-371,-10,-54,-240,25
11,26,5,28,43,69,-94,56,-15,-371,-10,-54,-230,26
12,21,-9,31,44,64,-94,43,-7,-371,8,-54,-227,26
14,16,-25,31,42,61,-93,30,-11,-371,25,-56,-239,26
14,17,-23,27,44,60,-94,26,-16,-371,20,-56,-242,30
12,15,-17,31,41,57,-96,37,-8,-371,6,-53,-238,30
12,21,-18,35,25,60,-91,47,2,-371,3,-50,-243,25
13,19,-20,27,17,62,-96,43,-6,-371,2,-53,-246,24
12,-2,-17,22,22,55,-108,31,-17,-371,-6,-53,-242,25
11,-13,-6,28,21,48,-104,28,-15,-371,-14,-45,-240,24
12,-4,8,26,25,54,-92,41,-5,-371,-5,-45,-240,22
10,6,6,26,40,62,-93,52,4,-371,11,-55,-240,21
8,12,-3,36,45,62,-97,54,15,-371,2,-56,-239,22
3,21,3,49,2,63,-100,36,-3,-370,84,-56,-244,5
8,17,8,48,-4,66,-99,35,-7,-370,84,-55,-245,3
13,1,-2,47,20,52,-101,32,-23,-369,80,-54,-243,20
14,-3,1,47,36,35,-108,31,-33,-368,66,-54,-242,29
10,2,0,47,32,28,-113,31,-34,-368,26,-54,-243,14
12,-2,-14,48,27,34,-107,32,-35,-368,-22,-54,-243,11
17,-10,-22,45,19,27,-96,30,-46,-369,-47,-54,-243,16
14,-15,-21,41,13,12,-93,24,-61,-370,-46,-53,-243,7
11,-10,-18,40,18,19,-96,21,-57,-370,-39,-57,-243,0
14,-3,-22,41,17,29,-96,24,-51,-370,-43,-61,-243,0
16,-6,-26,39,18,24,-95,29,-60,-370,-59,-59,-243,-3
11,-8,-13,39,21,30,-97,33,-63,-370,-75,-57,-243,4
9,-3,-9,39,19,42,-98,35,-55,-370,-72,-58,-243,22
11,-1,-22,40,22,41,-96,29,-51,-369,-54,-58,-243,25
12,1,-13,41,40,48,-98,32,-42,-373,-38,-59,-243,20
13,6,8,39,50,62,-99,43,-40,-377,-34,-58,-243,23
12,-3,5,39,40,58,-94,34,-53,-375,-40,-54,-243,22
10,-8,1,45,37,52,-99,24,-50,-372,-44,-62,-243,21
11,10,9,49,48,61,-111,43,-23,-373,-33,-57,-243,28
12,29,7,48,54,67,-105,49,-8,-373,-26,-35,-242,29
12,17,0,46,49,63,-92,32,-18,-373,-42,-38,-240,24
10,-2,1,48,41,62,-95,35,-28,-373,-57,-59,-242,23
12,-7,4,48,41,61,-99,54,-27,-371,-58,-57,-244,26
14,-9,5,48,46,57,-94,53,-21,-369,-60,-49,-244,22
12,-1,4,50,48,61,-94,40,-15,-368,-59,-56,-243,24
13,18,4,47,43,67,-96,31,-11,-368,-68,-55,-243,26
12,20,7,37,39,65,-96,29,-9,-368,-91,-50,-243,22
11,14,9,36,46,73,-98,39,-3,-368,-84,-53,-243,24
11,18,9,44,57,89,-96,46,4,-368,-66,-54,-243,29
12,18,4,43,54,92,-98,44,8,-368,-78,-54,-243,26
15,24,-22,51,50,93,-97,35,-24,-366,-157,-54,-243,31
14,18,-24,52,53,84,-96,31,-29,-372,-165,-54,-243,30
12,-2,-23,51,53,63,-93,32,-30,-370,-159,-54,-243,24
11,-8,-20,50,51,66,-92,32,-28,-369,-157,-54,-243,24
11,6,-21,53,52,90,-95,30,-39,-369,-163,-54,-243,26
10,6,-17,49,53,87,-97,31,-47,-368,-176,-54,-243,26
14,-8,-11,41,52,66,-96,31,-43,-368,-183,-54,-244,26
14,-7,-16,37,53,63,-94,30,-48,-368,-178,-54,-244,24
12,-5,-16,39,47,63,-94,33,-61,-369,-192,-54,-242,17
11,-10,0,46,40,59,-95,30,-54,-367,-216,-55,-242,16
13,0,7,46,43,72,-94,29,-39,-368,-204,-56,-239,23
14,12,3,42,48,89,-94,44,-34,-372,-177,-54,-229,25
13,5,5,47,49,85,-94,57,-31,-361,-179,-51,-227,19
13,-10,1,50,49,68,-94,51,-29,-353,-193,-51,-239,20
15,-12,-5,43,48,61,-94,39,-28,-367,-195,-52,-240,27
